FDID,Value
3182557,Not Encrypted (Deduped)
3182559,Not Encrypted (Deduped)
3182561,Not Encrypted (Deduped)
3182563,Not Encrypted (Deduped)
3182565,Not Encrypted (Deduped)
3182567,Encrypted (Known)
3182569,Encrypted (Known)
3182571,Encrypted (Known)
3182573,Encrypted (Known)
3182575,Encrypted (Known)
3182577,Encrypted (Known)
3182579,Encrypted (Known)
3182581,Encrypted (Known)
3182583,Encrypted (Known)
3182585,Encrypted (Known)
3182587,Encrypted (Known)
3182589,Encrypted (Known)
3182591,Encrypted (Known)
3182593,Encrypted (Known)
3182595,Not Encrypted (Deduped)
3182597,Encrypted (Known)
3182599,Encrypted (Known)
3182601,Encrypted (Known)
3182603,Encrypted (Known)
3182605,Encrypted (Known)
3182607,Encrypted (Known)
3182609,Encrypted (Known)
3182611,Encrypted (Known)
3182613,Encrypted (Known)
3182615,Not Encrypted (Deduped)
3182617,Not Encrypted (Deduped)
3182619,Not Encrypted (Deduped)
3182621,Not Encrypted (Deduped)
3182623,Not Encrypted (Deduped)
3182625,Not Encrypted (Deduped)
3182627,Not Encrypted (Deduped)
3182629,Not Encrypted (Deduped)
3182631,Not Encrypted (Deduped)
3182633,Not Encrypted (Deduped)
3182635,Not Encrypted (Deduped)
3182637,Not Encrypted (Deduped)
3182639,Encrypted (Known)
3182641,Encrypted (Known)
3182643,Encrypted (Known)
3182645,Encrypted (Known)
3182647,Encrypted (Known)
3182649,Encrypted (Known)
3182651,Encrypted (Known)
3182653,Encrypted (Known)
3182655,Encrypted (Known)
3182657,Encrypted (Known)
3182659,Encrypted (Known)
3182661,Encrypted (Known)
3182663,Encrypted (Known)
3182665,Encrypted (Known)
3182667,Encrypted (Known)
3182669,Encrypted (Known)
3182671,Encrypted (Known)
3182673,Encrypted (Known)
3182675,Encrypted (Known)
3182677,Encrypted (Known)
3182679,Encrypted (Known)
3182681,Encrypted (Known)
3182683,Encrypted (Known)
3182685,Encrypted (Known)
3182687,Not Encrypted (Deduped)
3182689,Not Encrypted (Deduped)
3182691,Not Encrypted (Deduped)
3182693,Not Encrypted (Deduped)
3182695,Not Encrypted (Deduped)
3182697,Not Encrypted (Deduped)
3182699,Not Encrypted (Deduped)
3182701,Not Encrypted (Deduped)
3182703,Not Encrypted (Deduped)
3182705,Not Encrypted (Deduped)
3182707,Not Encrypted (Deduped)
3182709,Not Encrypted (Deduped)
3182711,Encrypted (Known)
3182713,Encrypted (Known)
3182715,Encrypted (Known)
3182717,Encrypted (Known)
3182719,Encrypted (Known)
3182721,Encrypted (Known)
3182723,Encrypted (Known)
3182725,Encrypted (Known)
3182727,Encrypted (Known)
3182729,Encrypted (Known)
3182731,Encrypted (Known)
3182733,Encrypted (Known)
3182735,Encrypted (Known)
3182737,Encrypted (Known)
3182739,Encrypted (Known)
3182741,Encrypted (Known)
3182743,Encrypted (Known)
3182745,Encrypted (Known)
3182747,Encrypted (Known)
3182749,Encrypted (Known)
3182751,Encrypted (Known)
3182753,Encrypted (Known)
3182755,Encrypted (Known)
3182757,Encrypted (Known)
3182759,Not Encrypted (Deduped)
3182761,Not Encrypted (Deduped)
3182763,Not Encrypted (Deduped)
3182765,Not Encrypted (Deduped)
3182767,Not Encrypted (Deduped)
3182769,Not Encrypted (Deduped)
3182771,Not Encrypted (Deduped)
3182773,Not Encrypted (Deduped)
3182775,Not Encrypted (Deduped)
3182777,Not Encrypted (Deduped)
3182779,Not Encrypted (Deduped)
3182781,Not Encrypted (Deduped)
3182783,Encrypted (Known)
3182785,Encrypted (Known)
3182787,Encrypted (Known)
3182789,Encrypted (Known)
3182791,Encrypted (Known)
3182793,Encrypted (Known)
3182795,Encrypted (Known)
3182797,Encrypted (Known)
3182799,Encrypted (Known)
3182801,Encrypted (Known)
3182803,Encrypted (Known)
3182805,Encrypted (Known)
3182839,Encrypted (Known)
3182841,Encrypted (Known)
3182843,Encrypted (Known)
3182845,Encrypted (Known)
3182847,Encrypted (Known)
3182849,Encrypted (Known)
3182851,Encrypted (Known)
3182853,Encrypted (Known)
3182855,Encrypted (Known)
3182857,Not Encrypted (Deduped)
3182859,Not Encrypted (Deduped)
3182861,Not Encrypted (Deduped)
3182863,Not Encrypted (Deduped)
3182865,Not Encrypted (Deduped)
3182867,Not Encrypted (Deduped)
3182869,Not Encrypted (Deduped)
3182871,Not Encrypted (Deduped)
3182873,Not Encrypted (Deduped)
3182875,Encrypted (Known)
3182877,Encrypted (Known)
3182879,Encrypted (Known)
3182881,Encrypted (Known)
3182883,Encrypted (Known)
3182885,Encrypted (Known)
3182887,Encrypted (Known)
3182889,Encrypted (Known)
3182891,Encrypted (Known)
3182893,Encrypted (Known)
3182895,Encrypted (Known)
3182897,Encrypted (Known)
3182899,Encrypted (Known)
3182901,Encrypted (Known)
3182903,Encrypted (Known)
3182905,Not Encrypted (Deduped)
3182907,Not Encrypted (Deduped)
3182909,Not Encrypted (Deduped)
3182911,Not Encrypted (Deduped)
3182913,Not Encrypted (Deduped)
3182915,Not Encrypted (Deduped)
3182917,Encrypted (Known)
3182919,Encrypted (Known)
